EntrezGeneId	geneSymbol	geneName	diseaseId	diseaseName	score	NumberOfPubmeds	associationType									
8434	RECK	reversion-inducing-cysteine-rich protein with kazal motifs	umls:C0017636	Glioblastoma	0.300597117	3	Biomarker									
3440	IFNA2	"interferon, alpha 2"	umls:C0017636	Glioblastoma	0.300597117	3	Biomarker									
324	APC	adenomatous polyposis coli	umls:C0017636	Glioblastoma	0.300298558	2	Biomarker									
590	BCHE	butyrylcholinesterase	umls:C0017636	Glioblastoma	0.300298558	1	Biomarker									
1848	DUSP6	dual specificity phosphatase 6	umls:C0017636	Glioblastoma	0.300298558	1	Biomarker									
2195	FAT1	FAT atypical cadherin 1	umls:C0017636	Glioblastoma	0.300298558	1	Biomarker									
23462	HEY1	hes-related family bHLH transcription factor with YRPW motif 1	umls:C0017636	Glioblastoma	0.300298558	2	Biomarker									
8358	HIST1H3B	"histone cluster 1, H3b"	umls:C0017636	Glioblastoma	0.300298558	1	Biomarker									
10397	NDRG1	N-myc downstream regulated 1	umls:C0017636	Glioblastoma	0.300298558	2	Biomarker									
4853	NOTCH2	notch 2	umls:C0017636	Glioblastoma	0.300298558	2	Biomarker									
864	RUNX3	runt-related transcription factor 3	umls:C0017636	Glioblastoma	0.300298558	1	Biomarker									
26136	TES	testis derived transcript (3 LIM domains)	umls:C0017636	Glioblastoma	0.300298558	1	Biomarker									
3280	HES1	hes family bHLH transcription factor 1	umls:C0017636	Glioblastoma	0.3	1	Biomarker									
182	JAG1	jagged 1	umls:C0017636	Glioblastoma	0.3	1	Biomarker									
3714	JAG2	jagged 2	umls:C0017636	Glioblastoma	0.3	1	Biomarker									
9611	NCOR1	nuclear receptor corepressor 1	umls:C0017636	Glioblastoma	0.3	1	Biomarker									
4851	NOTCH1	notch 1	umls:C0017636	Glioblastoma	0.3	1	Biomarker									
4854	NOTCH3	notch 3	umls:C0017636	Glioblastoma	0.3	1	Biomarker									
7052	TGM2	transglutaminase 2	umls:C0017636	Glioblastoma	0.3	2	Biomarker									
7052	TGM2	transglutaminase 2	umls:C0017636	Glioblastoma	0.3	2	Therapeutic									
5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	umls:C0017636	Glioblastoma	0.106231382	7	Biomarker									
5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	umls:C0017636	Glioblastoma	0.106231382	7	AlteredExpression									
7157	TP53	tumor protein p53	umls:C0017636	Glioblastoma	0.101228559	226	GeneticVariation									
7157	TP53	tumor protein p53	umls:C0017636	Glioblastoma	0.101228559	226	AlteredExpression									
7157	TP53	tumor protein p53	umls:C0017636	Glioblastoma	0.101228559	226	Biomarker									
5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	umls:C0017636	Glioblastoma	0.1	1	Biomarker									
3603	IL16	interleukin 16	umls:C0017636	Glioblastoma	0.1	1	Biomarker									
5728	PTEN	phosphatase and tensin homolog	umls:C0017636	Glioblastoma	0.043642932	106	GeneticVariation									
5728	PTEN	phosphatase and tensin homolog	umls:C0017636	Glioblastoma	0.043642932	106	Biomarker									
1956	EGFR	epidermal growth factor receptor	umls:C1621958	Glioblastoma Multiforme	0.038978375	119	GeneticVariation									
1956	EGFR	epidermal growth factor receptor	umls:C1621958	Glioblastoma Multiforme	0.038978375	119	Biomarker									
3417	IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	umls:C0017636	Glioblastoma	0.037148683	97	GeneticVariation									
3417	IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	umls:C0017636	Glioblastoma	0.037148683	97	Biomarker									
7157	TP53	tumor protein p53	umls:C1621958	Glioblastoma Multiforme	0.024481777	82	Biomarker									
1029	CDKN2A	cyclin-dependent kinase inhibitor 2A	umls:C0017636	Glioblastoma	0.022521978	68	GeneticVariation									
1029	CDKN2A	cyclin-dependent kinase inhibitor 2A	umls:C0017636	Glioblastoma	0.022521978	68	Biomarker									
5290	PIK3CA	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha"	umls:C0017636	Glioblastoma	0.019498054	40	GeneticVariation									
5290	PIK3CA	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha"	umls:C0017636	Glioblastoma	0.019498054	40	Biomarker									
5764	PTN	pleiotrophin	umls:C0017636	Glioblastoma	0.014981339	10	Biomarker									
5764	PTN	pleiotrophin	umls:C0017636	Glioblastoma	0.014981339	10	AlteredExpression									
6774	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	umls:C0017636	Glioblastoma	0.013825447	24	Biomarker									
6774	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	umls:C0017636	Glioblastoma	0.013825447	24	AlteredExpression									
641648	SNORD87	"small nucleolar RNA, C/D box 87"	umls:C0017636	Glioblastoma	0.01373368	46	Biomarker									
677775	SCARNA5	small Cajal body-specific RNA 5	umls:C0017636	Glioblastoma	0.01373368	46	Biomarker									
7015	TERT	telomerase reverse transcriptase	umls:C0017636	Glioblastoma	0.013656997	15	AlteredExpression									
7015	TERT	telomerase reverse transcriptase	umls:C0017636	Glioblastoma	0.013656997	15	GeneticVariation									
7015	TERT	telomerase reverse transcriptase	umls:C0017636	Glioblastoma	0.013656997	15	Biomarker									
4193	MDM2	"MDM2 oncogene, E3 ubiquitin protein ligase"	umls:C0017636	Glioblastoma	0.012799664	28	AlteredExpression									
4193	MDM2	"MDM2 oncogene, E3 ubiquitin protein ligase"	umls:C0017636	Glioblastoma	0.012799664	28	GeneticVariation									
4193	MDM2	"MDM2 oncogene, E3 ubiquitin protein ligase"	umls:C0017636	Glioblastoma	0.012799664	28	Biomarker									
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	umls:C0017636	Glioblastoma	0.012332656	19	Biomarker									
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	umls:C0017636	Glioblastoma	0.012332656	19	AlteredExpression									
3956	LGALS1	"lectin, galactoside-binding, soluble, 1"	umls:C0017636	Glioblastoma	0.011567089	8	AlteredExpression									
3956	LGALS1	"lectin, galactoside-binding, soluble, 1"	umls:C0017636	Glioblastoma	0.011567089	8	Biomarker									
5291	PIK3CB	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta"	umls:C0017636	Glioblastoma	0.010150981	34	Biomarker									
5156	PDGFRA	"platelet-derived growth factor receptor, alpha polypeptide"	umls:C0017636	Glioblastoma	0.010148332	15	GeneticVariation									
5156	PDGFRA	"platelet-derived growth factor receptor, alpha polypeptide"	umls:C0017636	Glioblastoma	0.010148332	15	Biomarker									
3485	IGFBP2	"insulin-like growth factor binding protein 2, 36kDa"	umls:C0017636	Glioblastoma	0.00994419	10	Biomarker									
3485	IGFBP2	"insulin-like growth factor binding protein 2, 36kDa"	umls:C0017636	Glioblastoma	0.00994419	10	AlteredExpression									
5293	PIK3CD	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta"	umls:C0017636	Glioblastoma	0.009852423	33	Biomarker									
5294	PIK3CG	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma"	umls:C0017636	Glioblastoma	0.009852423	33	Biomarker									
5728	PTEN	phosphatase and tensin homolog	umls:C1621958	Glioblastoma Multiforme	0.009852423	33	Biomarker									
3418	IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	umls:C0017636	Glioblastoma	0.00865819	29	Biomarker									
4436	MSH2	mutS homolog 2	umls:C0017636	Glioblastoma	0.008451398	6	AlteredExpression									
4436	MSH2	mutS homolog 2	umls:C0017636	Glioblastoma	0.008451398	6	Biomarker									
4790	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	umls:C0017636	Glioblastoma	0.00832129	13	Biomarker									
4790	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	umls:C0017636	Glioblastoma	0.00832129	13	AlteredExpression									
2670	GFAP	glial fibrillary acidic protein	umls:C0017636	Glioblastoma	0.008191181	19	AlteredExpression									
2670	GFAP	glial fibrillary acidic protein	umls:C0017636	Glioblastoma	0.008191181	19	Biomarker									
596	BCL2	B-cell CLL/lymphoma 2	umls:C0017636	Glioblastoma	0.00815284	5	AlteredExpression									
596	BCL2	B-cell CLL/lymphoma 2	umls:C0017636	Glioblastoma	0.00815284	5	Biomarker									
3082	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	umls:C0017636	Glioblastoma	0.008022732	12	AlteredExpression									
3082	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	umls:C0017636	Glioblastoma	0.008022732	12	Biomarker									
332	BIRC5	baculoviral IAP repeat containing 5	umls:C0017636	Glioblastoma	0.007555723	3	AlteredExpression									
4255	MGMT	O-6-methylguanine-DNA methyltransferase	umls:C1621958	Glioblastoma Multiforme	0.007463957	25	Biomarker									
5243	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	umls:C0017636	Glioblastoma	0.007425615	9	GeneticVariation									
2260	FGFR1	fibroblast growth factor receptor 1	umls:C0017636	Glioblastoma	0.007425615	10	Biomarker									
595	CCND1	cyclin D1	umls:C0017636	Glioblastoma	0.007425615	9	GeneticVariation									
5243	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	umls:C0017636	Glioblastoma	0.007425615	9	AlteredExpression									
595	CCND1	cyclin D1	umls:C0017636	Glioblastoma	0.007425615	9	AlteredExpression									
5328	PLAU	"plasminogen activator, urokinase"	umls:C0017636	Glioblastoma	0.007425615	10	AlteredExpression									
2260	FGFR1	fibroblast growth factor receptor 1	umls:C0017636	Glioblastoma	0.007425615	10	GeneticVariation									
595	CCND1	cyclin D1	umls:C0017636	Glioblastoma	0.007425615	9	Biomarker									
5243	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	umls:C0017636	Glioblastoma	0.007425615	9	Biomarker									
5328	PLAU	"plasminogen activator, urokinase"	umls:C0017636	Glioblastoma	0.007425615	10	Biomarker									
6347	CCL2	chemokine (C-C motif) ligand 2	umls:C0017636	Glioblastoma	0.006864191	4	GeneticVariation									
6347	CCL2	chemokine (C-C motif) ligand 2	umls:C0017636	Glioblastoma	0.006864191	4	AlteredExpression									
6347	CCL2	chemokine (C-C motif) ligand 2	umls:C0017636	Glioblastoma	0.006864191	4	Biomarker									
836	CASP3	"caspase 3, apoptosis-related cysteine peptidase"	umls:C0017636	Glioblastoma	0.006828499	8	AlteredExpression									
836	CASP3	"caspase 3, apoptosis-related cysteine peptidase"	umls:C0017636	Glioblastoma	0.006828499	8	Biomarker									
5595	MAPK3	mitogen-activated protein kinase 3	umls:C0017636	Glioblastoma	0.00652994	6	Biomarker									
581	BAX	BCL2-associated X protein	umls:C0017636	Glioblastoma	0.00652994	6	Biomarker									
581	BAX	BCL2-associated X protein	umls:C0017636	Glioblastoma	0.00652994	6	GeneticVariation									
10215	OLIG2	oligodendrocyte lineage transcription factor 2	umls:C0017636	Glioblastoma	0.00652994	6	Biomarker									
2475	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	umls:C0017636	Glioblastoma	0.00652994	7	Biomarker									
2475	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	umls:C0017636	Glioblastoma	0.00652994	7	AlteredExpression									
9518	GDF15	growth differentiation factor 15	umls:C0017636	Glioblastoma	0.00652994	7	Biomarker									
238	ALK	anaplastic lymphoma receptor tyrosine kinase	umls:C0017636	Glioblastoma	0.00652994	6	AlteredExpression									
5595	MAPK3	mitogen-activated protein kinase 3	umls:C0017636	Glioblastoma	0.00652994	6	AlteredExpression									
238	ALK	anaplastic lymphoma receptor tyrosine kinase	umls:C0017636	Glioblastoma	0.00652994	6	Biomarker									
1950	EGF	epidermal growth factor	umls:C1621958	Glioblastoma Multiforme	0.006435524	10	GeneticVariation									
1950	EGF	epidermal growth factor	umls:C1621958	Glioblastoma Multiforme	0.006435524	10	Biomarker									
3342	HTC2	"hypertrichosis 2 (generalized, congenital)"	umls:C0017636	Glioblastoma	0.005971165	20	Biomarker									
3105	HLA-A	"major histocompatibility complex, class I, A"	umls:C0017636	Glioblastoma	0.005968516	2	GeneticVariation									
3105	HLA-A	"major histocompatibility complex, class I, A"	umls:C0017636	Glioblastoma	0.005968516	2	Biomarker									
1027	CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	umls:C0017636	Glioblastoma	0.005932824	5	AlteredExpression									
2697	GJA1	"gap junction protein, alpha 1, 43kDa"	umls:C0017636	Glioblastoma	0.005932824	5	AlteredExpression									
1027	CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	umls:C0017636	Glioblastoma	0.005932824	5	Biomarker									
57447	NDRG2	NDRG family member 2	umls:C0017636	Glioblastoma	0.005932824	4	Biomarker									
57447	NDRG2	NDRG family member 2	umls:C0017636	Glioblastoma	0.005932824	4	AlteredExpression									
2697	GJA1	"gap junction protein, alpha 1, 43kDa"	umls:C0017636	Glioblastoma	0.005932824	5	Biomarker									
7852	CXCR4	chemokine (C-X-C motif) receptor 4	umls:C0017636	Glioblastoma	0.005802715	12	Biomarker									
1508	CTSB	cathepsin B	umls:C0017636	Glioblastoma	0.005634265	3	AlteredExpression									
2173	FABP7	"fatty acid binding protein 7, brain"	umls:C0017636	Glioblastoma	0.005634265	3	Biomarker									
2173	FABP7	"fatty acid binding protein 7, brain"	umls:C0017636	Glioblastoma	0.005634265	3	AlteredExpression									
1508	CTSB	cathepsin B	umls:C0017636	Glioblastoma	0.005634265	3	Biomarker									
6387	CXCL12	chemokine (C-X-C motif) ligand 12	umls:C0017636	Glioblastoma	0.005504157	11	AlteredExpression									
6387	CXCL12	chemokine (C-X-C motif) ligand 12	umls:C0017636	Glioblastoma	0.005504157	11	Biomarker									
1029	CDKN2A	cyclin-dependent kinase inhibitor 2A	umls:C1621958	Glioblastoma Multiforme	0.005374049	18	Biomarker									
3417	IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	umls:C1621958	Glioblastoma Multiforme	0.005374049	18	Biomarker									
4524	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0017636	Glioblastoma	0.005335707	2	GeneticVariation									
64101	LRRC4	leucine rich repeat containing 4	umls:C0017636	Glioblastoma	0.005335707	3	Biomarker									
8741	TNFSF13	"tumor necrosis factor (ligand) superfamily, member 13"	umls:C0017636	Glioblastoma	0.005335707	2	Biomarker									
4524	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0017636	Glioblastoma	0.005335707	2	PostTranslationalModification									
10018	BCL2L11	BCL2-like 11 (apoptosis facilitator)	umls:C0017636	Glioblastoma	0.005335707	3	AlteredExpression									
1410	CRYAB	"crystallin, alpha B"	umls:C0017636	Glioblastoma	0.005335707	3	Biomarker									
1410	CRYAB	"crystallin, alpha B"	umls:C0017636	Glioblastoma	0.005335707	3	AlteredExpression									
4524	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	umls:C0017636	Glioblastoma	0.005335707	2	Biomarker									
10018	BCL2L11	BCL2-like 11 (apoptosis facilitator)	umls:C0017636	Glioblastoma	0.005335707	3	Biomarker									
3479	IGF1	insulin-like growth factor 1 (somatomedin C)	umls:C0017636	Glioblastoma	0.005205599	10	Biomarker									
406991	MIR21	microRNA 21	umls:C0017636	Glioblastoma	0.005205599	10	Biomarker									
2735	GLI1	GLI family zinc finger 1	umls:C0017636	Glioblastoma	0.005205599	10	AlteredExpression									
2735	GLI1	GLI family zinc finger 1	umls:C0017636	Glioblastoma	0.005205599	10	Biomarker									
1019	CDK4	cyclin-dependent kinase 4	umls:C0017636	Glioblastoma	0.00507549	17	Biomarker									
8842	PROM1	prominin 1	umls:C1621958	Glioblastoma Multiforme	0.00507549	17	Biomarker									
5329	PLAUR	"plasminogen activator, urokinase receptor"	umls:C0017636	Glioblastoma	0.005037149	2	Biomarker									
23469	PHF3	PHD finger protein 3	umls:C0017636	Glioblastoma	0.005037149	2	AlteredExpression									
23469	PHF3	PHD finger protein 3	umls:C0017636	Glioblastoma	0.005037149	2	Biomarker									
4548	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	umls:C0017636	Glioblastoma	0.005037149	2	GeneticVariation									
5329	PLAUR	"plasminogen activator, urokinase receptor"	umls:C0017636	Glioblastoma	0.005037149	2	AlteredExpression									
3417	IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	umls:C1519214	Secondary Glioblastoma	0.004776932	16	Biomarker									
3569	IL6	"interleukin 6 (interferon, beta 2)"	umls:C0017636	Glioblastoma	0.004776932	16	Biomarker									
7422	VEGFA	vascular endothelial growth factor A	umls:C1621958	Glioblastoma Multiforme	0.004776932	16	Biomarker									
3371	TNC	tenascin C	umls:C0017636	Glioblastoma	0.004608482	7	Biomarker									
5594	MAPK1	mitogen-activated protein kinase 1	umls:C0017636	Glioblastoma	0.004608482	8	AlteredExpression									
5594	MAPK1	mitogen-activated protein kinase 1	umls:C0017636	Glioblastoma	0.004608482	8	Biomarker									
7124	TNF	tumor necrosis factor	umls:C0017636	Glioblastoma	0.004478374	15	Biomarker									
57534	MIB1	mindbomb E3 ubiquitin protein ligase 1	umls:C0017636	Glioblastoma	0.004478374	15	Biomarker									
3458	IFNG	"interferon, gamma"	umls:C0017636	Glioblastoma	0.004309924	7	AlteredExpression									
5054	SERPINE1	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"	umls:C0017636	Glioblastoma	0.004309924	6	AlteredExpression									
7431	VIM	vimentin	umls:C0017636	Glioblastoma	0.004309924	6	AlteredExpression									
3458	IFNG	"interferon, gamma"	umls:C0017636	Glioblastoma	0.004309924	7	Biomarker									
7431	VIM	vimentin	umls:C0017636	Glioblastoma	0.004309924	6	Biomarker									
5054	SERPINE1	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"	umls:C0017636	Glioblastoma	0.004309924	6	Biomarker									
1524	CX3CR1	chemokine (C-X3-C motif) receptor 1	umls:C0017636	Glioblastoma	0.004047058	2	GeneticVariation									
3123	HLA-DRB1	"major histocompatibility complex, class II, DR beta 1"	umls:C0017636	Glioblastoma	0.004047058	3	GeneticVariation									
3123	HLA-DRB1	"major histocompatibility complex, class II, DR beta 1"	umls:C0017636	Glioblastoma	0.004047058	3	Biomarker									
1524	CX3CR1	chemokine (C-X3-C motif) receptor 1	umls:C0017636	Glioblastoma	0.004047058	2	Biomarker									
841	CASP8	"caspase 8, apoptosis-related cysteine peptidase"	umls:C0017636	Glioblastoma	0.004011366	6	PostTranslationalModification									
1026	CDKN1A	"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"	umls:C0017636	Glioblastoma	0.004011366	6	AlteredExpression									
8829	NRP1	neuropilin 1	umls:C0017636	Glioblastoma	0.004011366	6	Biomarker									
2185	PTK2B	protein tyrosine kinase 2 beta	umls:C0017636	Glioblastoma	0.004011366	5	Biomarker									
284	ANGPT1	angiopoietin 1	umls:C0017636	Glioblastoma	0.004011366	6	Biomarker									
841	CASP8	"caspase 8, apoptosis-related cysteine peptidase"	umls:C0017636	Glioblastoma	0.004011366	6	Biomarker									
1026	CDKN1A	"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"	umls:C0017636	Glioblastoma	0.004011366	6	Biomarker									
10763	NES	nestin	umls:C0017636	Glioblastoma	0.003881257	13	Biomarker									
3791	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	umls:C0017636	Glioblastoma	0.003881257	13	Biomarker									
4288	MKI67	marker of proliferation Ki-67	umls:C0017636	Glioblastoma	0.003881257	13	Biomarker									
8743	TNFSF10	"tumor necrosis factor (ligand) superfamily, member 10"	umls:C1621958	Glioblastoma Multiforme	0.003881257	13	Biomarker									
3342	HTC2	"hypertrichosis 2 (generalized, congenital)"	umls:C1621958	Glioblastoma Multiforme	0.003881257	13	Biomarker									
4792	NFKBIA	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"	umls:C0017636	Glioblastoma	0.0037485	1	GeneticVariation									
23635	SSBP2	single-stranded DNA binding protein 2	umls:C0017636	Glioblastoma	0.0037485	1	GeneticVariation									
4792	NFKBIA	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"	umls:C0017636	Glioblastoma	0.0037485	1	Biomarker									
23635	SSBP2	single-stranded DNA binding protein 2	umls:C0017636	Glioblastoma	0.0037485	1	Biomarker									
1906	EDN1	endothelin 1	umls:C0017636	Glioblastoma	0.003712808	5	AlteredExpression									
3685	ITGAV	"integrin, alpha V"	umls:C0017636	Glioblastoma	0.003712808	5	AlteredExpression									
22809	ATF5	activating transcription factor 5	umls:C0017636	Glioblastoma	0.003712808	4	AlteredExpression									
116986	AGAP2	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"	umls:C0017636	Glioblastoma	0.003712808	4	Biomarker									
575	BAI1	brain-specific angiogenesis inhibitor 1	umls:C0017636	Glioblastoma	0.003712808	4	AlteredExpression									
355	FAS	Fas cell surface death receptor	umls:C0017636	Glioblastoma	0.003712808	4	AlteredExpression									
2064	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	umls:C0017636	Glioblastoma	0.003712808	5	AlteredExpression									
6275	S100A4	S100 calcium binding protein A4	umls:C0017636	Glioblastoma	0.003712808	4	AlteredExpression									
355	FAS	Fas cell surface death receptor	umls:C0017636	Glioblastoma	0.003712808	4	Biomarker									
575	BAI1	brain-specific angiogenesis inhibitor 1	umls:C0017636	Glioblastoma	0.003712808	4	Biomarker									
22809	ATF5	activating transcription factor 5	umls:C0017636	Glioblastoma	0.003712808	4	Biomarker									
2064	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	umls:C0017636	Glioblastoma	0.003712808	5	Biomarker									
1906	EDN1	endothelin 1	umls:C0017636	Glioblastoma	0.003712808	5	Biomarker									
6275	S100A4	S100 calcium binding protein A4	umls:C0017636	Glioblastoma	0.003712808	4	Biomarker									
3685	ITGAV	"integrin, alpha V"	umls:C0017636	Glioblastoma	0.003712808	5	Biomarker									
145258	GSC	goosecoid homeobox	umls:C0017636	Glioblastoma	0.003582699	12	Biomarker									
1030	CDKN2B	"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"	umls:C0017636	Glioblastoma	0.003582699	12	Biomarker									
